contract_id,station_number,status,bike_stands,bonus,banking,position,address,station_name
6,148,0,36,0,1,"39.4657630789/-0.377991101944","Estación del Norte","148_ESTACION RENFE"
22,37,1,1,0,1,"54.691713/25.288714","Jočionių","TEST STATION"
3,1004,1,0,0,1,"0.0/0.0","","1004 - PREPARATION PC"
2,34001,0,24,0,1,"48.9008896269/2.3248198078","FACE 10 RUE FRUCTIDOR / FACE BAT 2 LE COLYSEE - 93400 SAINT OUEN","34001 - FRUCTIDOR (SAINT OUEN)"
2,15022,0,39,0,1,"48.8470986841/2.29623845051","143 AVENUE EMILE ZOLA - 75015 PARIS","15022 - ZOLA"
2,801,1,80,0,0,"0.0/0.0","24H VELIB - 75008 PARIS","00801 - 24H VELIB"
2,802,1,80,0,0,"0.0/0.0","24H VELIB - 75008 PARIS","00802 - 24H VELIB"
2,803,1,40,0,0,"0.0/0.0","24H VELIB - 75008 PARIS","00803 - 24H VELIB"
2,805,1,80,0,0,"0.0/0.0","24H VELIB - 75008 PARIS","00805 - 24H VELIB"
2,804,1,80,0,0,"0.0/0.0","24H VELIB - 75008 PARIS","00804 - 24H VELIB"
2,806,1,40,0,0,"0.0/0.0","24H VELIB - 75008 PARIS","00806 - 24H VELIB"
2,34003,0,25,0,1,"48.9013270326/2.33530123747","2 RUE NEUVE PIERRE CURIE - 93400 SAINT OUEN","34003 - CURIE (SAINT OUEN)"
2,1027,0,21,0,1,"48.862238717/2.34196093796","49 RUE BERGER - 75001 PARIS","01027 - BERGER"
2,8108,0,56,0,1,"48.8748231903/2.32529611781","10-12 RUE DE L'ISLY - 75008 PARIS","08108 - L'ISLY"
2,42005,0,21,0,1,"48.8147064321/2.40238243434","1 PLACE DE LEON GAMBETTA - 94200 IVRY","42005 - GAMBETTA (IVRY)"
21,54903,1,20,0,0,"49.0262748408/2.01695069553","Avenue Simone Signoret angle rue de l'Enfance - 95490 VAUREAL","54903 - VAU03 - LE BOULINGRIN"
3,62,1,22,0,1,"43.6090446441/1.45336004008","71 ALL JEAN JAURES","00062 - JAURES STALINGRAD"
25,8279,1,5,0,1,"43.260666384/5.38722967309","CLOT BEY DAUMIER - ANGLE AVENUE CLOT BEY ET RUE CALLELONGUE","8279- CLOT BEY DAUMIER"
20,12,0,21,0,1,"50.840521/4.36639","FERMÉE & DÉMONTÉE - TRONE/TROON - AV. DES ARTS/KUNSTLAAN, 58","012 - TRONE / TROON (FERMÉE ET DÉMONTÉE)"
20,35,0,28,0,1,"50.845814/4.358013","DÉMONTÉE - CANTERSTEEN/KANTERSTEEN - RUE CANTERSTEEN/KANTERSTEENSTRAAT 41-43-45","035 - CANTERSTEEN / KANTERSTEEN (DÉMONTÉE)"
2,13031,0,31,0,1,"48.8211593208/2.35870121788","170 AVENUE D'ITALIE - 75013 PARIS","13031 - ITALIE MAISON BLANCHE"
14,3032,1,16,0,1,"45.76341/4.847132","Angle cours Lafayette","3032 - LAFAYETTE / CRÉQUI"
14,3090,0,17,0,1,"45.741865/4.893461","","3090 - VINATIER"
2,28003,0,35,0,1,"48.8804708722/2.2373624463","152 RUE JEAN JAURES - 92800 PUTEAUX","28003 - JAURES (PUTEAUX)"
2,10035,0,24,0,1,"48.8843481513/2.36416332987","1 BOULEVARD DE LA CHAPELLE - 75010 PARIS","10035 - AUBERVILLIERS"
2,42706,0,30,0,1,"48.8146624956/2.36134550272","3 RUE ROGER SALENGRO -  94270 LE KREMLIN BICETRE","42706 - SALENGRO (KREMLIN BICETRE)"
